    672474	19891216030105	35.5132	-120.0743	  13.00	  34.00	-107.00	  13.00	  34.00	-107.00	 0.0 	2.470	 0.0 	 10.2300
   1048524	19891223221355	35.7470	-120.3222	 269.00	  74.00	-160.00	 269.00	  74.00	-160.00	 0.0 	2.230	 0.0 	 3.0700
   1048694	19891226195835	35.3428	-119.4602	 277.00	  49.00	 123.00	 277.00	  49.00	 123.00	 0.0 	3.200	 0.0 	 27.7900
   1051655	19900206181407	34.9567	-121.0715	 327.00	  68.00	 -98.00	 327.00	  68.00	 -98.00	 0.0 	3.580	 0.0 	 16.9200
   1058645	19900514084424	34.8562	-120.4957	 152.00	  60.00	 173.00	 152.00	  60.00	 173.00	 0.0 	3.040	 0.0 	 5.4800
    142386	19900802010044	35.6587	-120.2385	 268.00	  69.00	 144.00	 268.00	  69.00	 144.00	 0.0 	3.190	 0.0 	 7.6900
   2003582	19900828023831	35.6588	-120.2318	 291.00	  68.00	-153.00	 291.00	  68.00	-153.00	 0.0 	2.670	 0.0 	 8.2600
   2006130	19901011015342	34.9693	-119.5125	 137.00	  82.00	-172.00	 137.00	  82.00	-172.00	 0.0 	3.100	 0.0 	 8.8500
   2006686	19901021042541	35.4087	-119.4735	 132.00	  76.00	-172.00	 132.00	  76.00	-172.00	 0.0 	2.420	 0.0 	 17.8200
   2007051	19901027151957	34.8183	-120.1907	 327.00	  79.00	 130.00	 327.00	  79.00	 130.00	 0.0 	2.220	 0.0 	 5.3000
   2010648	19910121024727	35.7640	-120.3418	 154.00	  79.00	-116.00	 154.00	  79.00	-116.00	 0.0 	3.000	 0.0 	 8.1500
   2011700	19910204020721	35.7653	-120.3398	 132.00	  87.00	-136.00	 132.00	  87.00	-136.00	 0.0 	2.840	 0.0 	 8.3800
   2012506	19910214131652	35.4048	-120.6647	 322.00	  88.00	 139.00	 322.00	  88.00	 139.00	 0.0 	2.430	 0.0 	 5.1800
   2017605	19910504234902	34.8105	-120.3237	 352.00	  80.00	 155.00	 352.00	  80.00	 155.00	 0.0 	2.540	 0.0 	 0.0000
   2038209	19911229024822	35.2563	-119.5817	 321.00	  83.00	-161.00	 321.00	  83.00	-161.00	 0.0 	2.010	 0.0 	 17.0500
   2043039	19920224172402	35.7782	-120.3632	 183.00	  43.00	-111.00	 183.00	  43.00	-111.00	 0.0 	2.760	 0.0 	 9.3900
   2046341	19920404053538	34.9513	-119.5103	 226.00	  44.00	 -70.00	 226.00	  44.00	 -70.00	 0.0 	2.000	 0.0 	 11.8700
   2046974	19920411101143	35.4007	-119.9583	 164.00	  55.00	 148.00	 164.00	  55.00	 148.00	 0.0 	2.020	 0.0 	 6.0600
   3084870	19921226042346	34.8867	-119.5407	 360.00	  90.00	 146.00	 360.00	  90.00	 146.00	 0.0 	2.590	 0.0 	 9.0300
   3124048	19930927201522	35.7543	-120.3580	 332.00	  80.00	-166.00	 332.00	  80.00	-166.00	 0.0 	3.490	 0.0 	 9.7000
